KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM10164,Nam,Qu?ng Tr?,Nãm 2,Lu?t kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",5,3,3,3,3,3,3,3,3,3
CTM10246,Nam,Ðà N?ng,Nãm 4,H? th?ng thông tin qu?n l?,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game",4,4,5,5,4,3,4,1,5,5
CTM1028,N?,Ngh? An,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,4,3,4,4,3,4,2,4,4
CTM10516,Nam,Gia Lai,Nãm 2,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,3,2,3,3,4,2
CTM10573,Nam,Th?a Thiên Hu?,Nãm 4,Tài chính doanh nghi?p,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,3,4,3,4,1,4,1,3,4
CTM10591,N?,H? Chí Minh,Nãm 4,Thýõng m?i,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,5,5,3,5,4
CTM10657,Nam,Ðà N?ng,Nãm 2,Toán kinh t?,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,3,3,3,3,3,3,3,3
CTM10863,Nam,Ðà N?ng,Nãm 3,H? th?ng thông tin qu?n l?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game",4,4,5,5,3,2,3,3,3,4
CTM10869,N?,Ðà N?ng,Nãm 4,Thýõng m?i,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,3,3,5,3,5,2,5,5
CTM11013,N?,H? Chí Minh,Nãm 1,Truy?n thông Marketing,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,H?c t?p,4,4,2,3,3,5,5,4,5,4
CTM11016,N?,Ð?k L?k,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,4,3,3,5,4,5,4,3
CTM11020,N?,Gia Lai,Nãm 3,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,4,3,3,4,5,5,2,5,4
CTM11312,Nam,H? Chí Minh,Nãm 3,Qu?n tr? kinh doanh,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 6 tháng - 1 nãm,"Làm vi?c, Chõi game",5,5,5,5,4,3,5,3,5,3
CTM11376,N?,Hà T?nh,Nãm 4,Qu?n tr? khách s?n,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,5,4,5,4,3,3,5,4
CTM11476,N?,H? Chí Minh,Nãm 3,Qu?n tr? Marketing,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,H?c t?p,4,4,2,3,3,4,2,2,4,2
CTM11491,Nam,Qu?ng Nam,Nãm 3,H? th?ng thông tin qu?n l?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game",5,4,5,5,3,2,4,3,4,4
CTM1154,N?,Ðà N?ng,Nãm 1,Qu?n tr? khách s?n,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,Làm vi?c,4,4,4,4,4,4,4,4,4,4
CTM11567,Nam,H? Chí Minh,Nãm 3,Ngo?i thýõng,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,4,3,2,4,4,3,3
CTM11667,Nam,Ðà N?ng,Nãm 4,Qu?n tr? kinh doanh,Công ch?c nhà ný?c,Trên 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",4,3,4,4,4,4,4,3,3,2
CTM11768,N?,B?nh Ð?nh,Nãm 2,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,4,2,2,3,4,2,2,3,4
CTM1205,N?,Qu?ng B?nh,Nãm 3,Qu?n l? nhà ný?c,Nông dân,Dý?i 1.500.000,T? 6 tháng - 1 nãm,H?c t?p,4,4,2,2,5,3,5,3,5,5
CTM12086,Nam,B?nh Ð?nh,Nãm 2,Ngo?i thýõng,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c",3,2,3,4,3,3,3,2,4,3
CTM12311,Nam,Qu?ng Nam,Nãm 3,Ki?m toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,1,4,4,4,2,3,2,4,5
CTM1232,Nam,Gia Lai,Nãm 1,Thýõng m?i,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,4,4,4,4,4
CTM12334,N?,Ngh? An,Nãm 3,Toán kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",5,4,5,5,5,3,4,2,4,4
CTM12448,N?,Kon Tum,Nãm 4,K? toán,Nông dân,Dý?i 1.500.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,2,3,3,4,4,4,2,3,3
CTM12491,Nam,Kon Tum,Nãm 3,Tài chính doanh nghi?p,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,2,4,4,5,2,3,2,4,3
CTM12511,N?,Ð?k L?k,Nãm 3,Qu?n tr? Marketing,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,4,3,3,4,5,4,3,4,5
CTM12519,N?,Qu?ng Nam,Nãm 4,K? toán,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c",3,2,2,3,4,4,4,2,3,4
CTM12588,Nam,Qu?ng Tr?,Nãm 2,Tài chính doanh nghi?p,Nông dân,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,4,1,2,3,4,5
CTM12627,N?,Qu?ng Tr?,Nãm 4,Ngo?i thýõng,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",4,4,5,5,4,4,5,5,5,4
CTM12635,N?,Gia Lai,Nãm 3,Lu?t,Nông dân,Dý?i 1.500.000,Dý?i 6 tháng,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,5,3,3,2,5,5
